epoch,train_loss,val_loss,mauve,ppl,div,mem
1,34.52642909245693,13.56258039754066,0.0040720962619612555,4.191533622741699,4.643962848298601e-12,0.0
2,11.799458775018119,11.052437210704294,0.0040720962619612555,4.191533622741699,4.643962848298601e-12,0.0
3,10.767361226739377,10.552210248642714,0.00567244297888355,22.916831563472748,0.0017872020219611155,0.014066496163682864
4,10.427991641331444,10.336679023717824,0.0178008906442636,87.3690994758606,0.20831535078791122,0.06323056941691162
5,10.225618909158614,10.14164476674232,0.019405579873862898,102.60759528541566,0.43162906251939626,0.06753645433614736
6,10.080989391355898,10.045236028366835,0.016034645291947848,107.70224639701843,0.4606916657760976,0.06199778331947908
7,9.973253333995707,9.915322735565882,0.01626593112742183,101.23972193813324,0.44075503123736043,0.06549276169265034
8,9.883683941910503,9.851668093802486,0.0161223040851189,103.316522274971,0.4577751211879085,0.06181469298245614
9,9.808888719084468,9.779725236302479,0.015655575960666895,104.24429239845276,0.44993254351748224,0.06381510865815798
10,9.744732122597295,9.732497479317631,0.014973859385430542,104.60288373184204,0.46888850523742226,0.05306914230289594
11,9.68371892260159,9.660206428179912,0.014494263887776738,108.74170181465149,0.4899773891602635,0.056751054852320675
12,9.631712340894403,9.63360683304479,0.013931400455681909,102.54316311645508,0.4488455294451417,0.07125203022385425
13,9.580713456409633,9.593442410521865,0.016519468890135423,108.42565647506714,0.46145411087800065,0.06477027121243813
14,9.535042883907156,9.55935645957723,0.015296236127755491,105.87143838500977,0.4476225531331465,0.06343490304709141
15,9.496578132679097,9.474376659828211,0.016674256867822285,97.29831031608582,0.44016073305290704,0.06381937648539074
16,9.457473967155597,9.461625033947078,0.013688044147805476,100.43294382095337,0.4552303553714516,0.06260319207484866
17,9.420221804019294,9.519577212753047,0.011636493092940701,90.65505058670044,0.39031619602481227,0.061658349853031647
18,9.38444456189515,9.433655800959187,0.017082022870725303,110.31258655929565,0.43508473852127194,0.06379821958456973
19,9.34966690713756,9.381710279259698,0.012936565483548507,94.69185087776184,0.45503098918161655,0.053115706480392835
20,9.31501622049868,9.368449590105188,0.015255974734483771,112.19676383781433,0.47748832882827313,0.05898462186644196
21,9.28206267444888,9.33976621658872,0.013198493017516019,97.26213953781128,0.43672641558199127,0.06769166550716571
22,9.249254184230013,9.25768862795752,0.016723776688830058,103.67511279392242,0.4551257952743289,0.06206516497899015
23,9.21469040828212,9.240419611480414,0.013079254761380946,110.80802348899842,0.4687884195011675,0.05960959910445673
24,9.187005155896777,9.194404633115091,0.015373494313341965,97.74353510570526,0.4404921981442851,0.06207376478775226
25,9.155654071596624,9.19491089749414,0.014830226535487427,102.46880375480652,0.43087616590671585,0.0676362118154617
26,9.128738234537561,9.213782919346315,0.016038306872950388,114.814171251297,0.5077880246920048,0.05239552929451129
27,9.098256837014397,9.160875031536488,0.014129175476378368,89.62750068473817,0.44109095865193215,0.06077728776185226
28,9.078348011716828,9.096294421714758,0.017181594414128473,100.12977952003479,0.47208078147446864,0.06878828416531718
29,9.05249996889427,9.076844870850007,0.0124807192408602,114.64040295410156,0.5210085435470284,0.04890996602491506
30,9.033097890508033,9.05497067293049,0.014992895246630854,100.37462938117982,0.44370226612301955,0.06687942278340503
